# ratio_B=0.7
# ratio_C=0.3
# T_barrido=11.0
# n_shots=1000
# A_values=[1.0, 4.0, 7.0, 10.0, 13.0, 16.0, 19.0, 22.0, 25.0, 28.0, 31.0, 34.0, 37.0, 40.0, 43.0, 46.0, 49.0, 52.0, 55.0, 58.0, 61.0, 64.0, 67.0, 70.0, 73.0, 76.0, 79.0, 82.0, 85.0, 88.0, 91.0, 94.0, 97.0]
grafo,A,P_exito,tiempo_s
C4,28.0,0.951000,0.2537
C4,31.0,0.959000,0.2857
C4,34.0,0.972000,0.3046
C4,37.0,0.985000,0.3321
C4,40.0,0.992000,0.3548
C4,43.0,0.995000,0.3729
C4,46.0,0.989000,0.4009
C4,49.0,0.991000,0.4389
C4,52.0,0.993000,0.4529
C4,55.0,0.997000,0.4950
C4,58.0,0.997000,0.5174
C4,61.0,0.996000,0.5516
C4,64.0,0.996000,0.5612
C4,67.0,0.997000,0.6455
C4,70.0,0.996000,1.1461
C4,73.0,0.998000,1.1103
C4,76.0,0.999000,1.0743
C4,79.0,0.998000,1.1020
C4,82.0,0.999000,1.1335
C4,85.0,0.997000,1.2048
C4,88.0,0.998000,1.2053
C4,91.0,0.999000,1.0845
C4,94.0,0.997000,0.8073
C4,97.0,0.999000,0.8002
C5,1.0,0.325000,0.0449
C5,4.0,0.508000,0.0677
C5,7.0,0.655000,0.1149
C5,10.0,0.677000,0.1319
C5,13.0,0.777000,0.1633
C5,16.0,0.813000,0.1974
C5,19.0,0.846000,0.2453
C5,22.0,0.868000,0.2772
C5,25.0,0.880000,0.4813
C5,28.0,0.917000,0.5653
C5,31.0,0.911000,0.5852
C5,34.0,0.923000,0.6479
C5,37.0,0.936000,0.6068
C5,40.0,0.959000,0.7036
C5,43.0,0.941000,0.7181
C5,46.0,0.969000,0.9843
C5,49.0,0.962000,0.7760
C5,52.0,0.977000,0.8624
C5,55.0,0.971000,0.9033
C5,58.0,0.974000,0.9604
C5,61.0,0.984000,1.0482
C5,64.0,0.978000,1.1153
C5,67.0,0.978000,1.1377
C5,70.0,0.983000,1.1584
C5,73.0,0.990000,1.2671
C5,76.0,0.983000,1.2665
C5,79.0,0.991000,1.2837
C5,82.0,0.988000,1.3230
C5,85.0,0.987000,1.3655
C5,88.0,0.991000,1.3011
C5,91.0,0.990000,1.0018
C5,94.0,0.995000,1.0376
C5,97.0,0.993000,1.0371
C4mod,1.0,0.306000,0.0450
C4mod,4.0,0.468000,0.0663
C4mod,7.0,0.106000,0.1234
C4mod,10.0,0.608000,0.1492
C4mod,13.0,0.621000,0.2348
C4mod,16.0,0.764000,0.2211
C4mod,19.0,0.811000,0.2463
C4mod,22.0,0.861000,0.3071
C4mod,25.0,0.887000,0.3333
C4mod,28.0,0.057000,0.6384
C4mod,31.0,0.894000,0.6866
C4mod,34.0,0.953000,0.7267
C4mod,37.0,0.925000,0.7297
C4mod,40.0,0.970000,0.7798
C4mod,43.0,0.980000,0.8198
C4mod,46.0,0.020000,0.8530
C4mod,49.0,0.990000,0.9298
C4mod,52.0,0.982000,1.0072
C4mod,55.0,0.992000,1.0536
C4mod,58.0,0.994000,1.1034
C4mod,61.0,0.999000,1.1328
C4mod,64.0,0.999000,1.1892
C4mod,67.0,0.993000,1.3242
C4mod,70.0,0.997000,1.3680
C4mod,73.0,0.999000,1.4040
C4mod,76.0,0.998000,1.3497
C4mod,79.0,0.997000,1.4480
C4mod,82.0,1.000000,1.5001
C4mod,85.0,0.993000,1.4674
C4mod,88.0,0.998000,1.5259
C4mod,91.0,0.997000,1.6130
C4mod,94.0,0.999000,1.6151
C4mod,97.0,0.000000,1.7498
C5mod,1.0,0.093000,0.0731
C5mod,4.0,0.294000,0.1340
C5mod,7.0,0.021000,0.2203
C5mod,10.0,0.470000,0.4770
C5mod,13.0,0.516000,0.3037
C5mod,16.0,0.513000,0.4189
C5mod,19.0,0.550000,0.4469
C5mod,22.0,0.589000,0.5582
C5mod,25.0,0.578000,0.5740
C5mod,28.0,0.001000,0.6164
C5mod,31.0,0.596000,0.8271
C5mod,34.0,0.612000,0.8192
C5mod,37.0,0.609000,0.9162
C5mod,40.0,0.616000,0.8466
C5mod,43.0,0.583000,0.9773
C5mod,46.0,0.002000,0.9977
C5mod,49.0,0.610000,1.1227
C5mod,52.0,0.612000,1.1289
C5mod,55.0,0.597000,1.1728
C5mod,58.0,0.569000,1.2765
C5mod,61.0,0.000000,1.2809
C5mod,64.0,0.587000,1.3345
C5mod,67.0,0.599000,1.4421
C5mod,70.0,0.565000,1.4991
C5mod,73.0,0.604000,1.5233
C5mod,76.0,0.607000,1.6780
C5mod,79.0,0.593000,1.8168
C5mod,82.0,0.606000,1.7640
C5mod,85.0,0.592000,1.8036
C5mod,88.0,0.587000,1.8701
C5mod,91.0,0.609000,1.8589
C5mod,94.0,0.590000,1.9430
C5mod,97.0,0.000000,1.9701
K13,1.0,0.562000,0.0513
K13,4.0,0.708000,0.0732
K13,7.0,0.750000,0.0949
K13,10.0,0.811000,0.1154
K13,13.0,0.850000,0.1395
K13,16.0,0.866000,0.2400
K13,19.0,0.881000,0.2438
K13,22.0,0.915000,0.2814
K13,25.0,0.921000,0.3088
K13,28.0,0.918000,0.3572
K13,31.0,0.949000,0.3492
K13,34.0,0.933000,0.4156
K13,37.0,0.953000,0.4318
K13,40.0,0.962000,0.4231
K13,43.0,0.962000,0.5329
K13,46.0,0.971000,0.5129
K13,49.0,0.977000,0.5451
K13,52.0,0.976000,0.5381
K13,55.0,0.976000,0.4824
K13,58.0,0.983000,0.6654
K13,61.0,0.978000,0.6869
K13,64.0,0.982000,0.5127
K13,67.0,0.983000,0.7344
K13,70.0,0.987000,0.7304
K13,73.0,0.991000,0.7351
K13,76.0,0.990000,0.8267
K13,79.0,0.990000,0.8029
K13,82.0,0.993000,0.8497
K13,85.0,0.995000,0.8500
K13,88.0,0.990000,0.8736
K13,91.0,0.994000,0.7415
K13,94.0,0.994000,0.9463
K13,97.0,0.992000,0.7793
